key,region,description,easting,northing,latitude,longitude,url
K405F,Kowloon,Ma Tau Wai Road near Farm Road,837356,820351,22.32217214,114.1874347,http://tdcctv.data.one.gov.hk/K405F.JPG
K205F,Kowloon,Nathan Road near Lai Chi Kok Road,835419,820366,22.32230774,114.1686338,http://tdcctv.data.one.gov.hk/K205F.JPG
TK101F,Kowloon,Po Lam Road North near Po Hong Road,843921,820782,22.32604763,114.2511576,http://tdcctv.data.one.gov.hk/TK101F.JPG
TK105F,Kowloon,Po Shun Road near Tseung Kwan O Swimming Pool,845001,819909,22.31815879,114.2616358,http://tdcctv.data.one.gov.hk/TK105F.JPG
K506F,Kowloon,Prince Edward Rd W Flyover nr Olympic Garden,837681,820963,22.32769862,114.1905897,http://tdcctv.data.one.gov.hk/K506F.JPG
K521F,Kowloon,Prince Edward Road East near San Po Kong,838251,821503,22.33257458,114.1961231,http://tdcctv.data.one.gov.hk/K521F.JPG
K123F,Kowloon,Princess Margaret Road near King's Park,836378,819097,22.31084812,114.1779419,http://tdcctv.data.one.gov.hk/K123F.JPG
K409F,Kowloon,Princess Margaret Road/Argyle Street,836389,820253,22.32128749,114.1780488,http://tdcctv.data.one.gov.hk/K409F.JPG
K408F,Kowloon,Princess Margaret Road/Pui Ching Road,836443,819808,22.31726887,114.1785729,http://tdcctv.data.one.gov.hk/K408F.JPG
K102F,Kowloon,Salisbury Road near Chatham Road,836113,817406,22.29557735,114.1753702,http://tdcctv.data.one.gov.hk/K102F.JPG
K101F,Kowloon,Salisbury Road near Nathan Road,835826,817296,22.29458393,114.1725851,http://tdcctv.data.one.gov.hk/K101F.JPG
K607F,Kowloon,Sau Mau Ping Road near Hip Wo Street,841318,820555,22.32400731,114.2258911,http://tdcctv.data.one.gov.hk/K607F.JPG
K811F,Kowloon,Tseung Kwan O Road near Tsui Ping South Estate,842169,819236,22.31209325,114.2341463,http://tdcctv.data.one.gov.hk/K811F.JPG
TK904F,Kowloon,Tseung Kwan O Tunnel - Tseung Kwan O Side,844594,819819,22.31734805,114.2576851,http://tdcctv.data.one.gov.hk/TK904F.JPG
K111F,Kowloon,Waterloo Road / Ferry Street,835240,819243,22.31216628,114.1668971,http://tdcctv.data.one.gov.hk/K111F.JPG
K112F,Kowloon,Waterloo Road near Tung Fong Street,835730,819355,22.31317793,114.1716528,http://tdcctv.data.one.gov.hk/K112F.JPG
K502F,Kowloon,Waterloo Road/Cornwall Street,836493,822341,22.34014333,114.1790585,http://tdcctv.data.one.gov.hk/K502F.JPG
K816F,Kowloon,West Kowloon Corridor near Nam Cheong Estate,834718,820669,22.32504352,114.1618295,http://tdcctv.data.one.gov.hk/K816F.JPG
K914F,Kowloon,West Kowloon Highway near Lai Wan Interchange,832752,821317,22.33089245,114.1427454,http://tdcctv.data.one.gov.hk/K914F.JPG
K911F,Kowloon,West Kowloon Hwy - Yau Ma Tei Interchange N,834682,819489,22.31438739,114.1614812,http://tdcctv.data.one.gov.hk/K911F.JPG
TW117F,Tsuen Wan,Castle Peak Road near Texaco Road North,830767,825671,22.37020629,114.1234625,http://tdcctv.data.one.gov.hk/TW117F.JPG
TW109F,Tsuen Wan,Castle Peak Road near Wo Yi Hop Road,831994,825082,22.3648908,114.1353776,http://tdcctv.data.one.gov.hk/TW109F.JPG
SM936F,Tsuen Wan,Cheung Pei Shan Road,830725,826372,22.37653656,114.1230523,http://tdcctv.data.one.gov.hk/SM936F.JPG
TC101F,Tsuen Wan,Cheung Tsing Bridge,829537,823284,22.34864601,114.1115299,http://tdcctv.data.one.gov.hk/TC101F.JPG
TC302F,Tsuen Wan,Cheung Tsing Highway near Kam Chuk Kok,827653,822851,22.34472737,114.0932424,http://tdcctv.data.one.gov.hk/TC302F.JPG
TW102F,Tsuen Wan,Kwai Chung Road near Container Terminal,831769,822260,22.339406,114.133201,http://tdcctv.data.one.gov.hk/TW102F.JPG
TW108F,Tsuen Wan,Kwai Chung Road near Kwai Hing MTR Station,831601,824630,22.36080797,114.1315632,http://tdcctv.data.one.gov.hk/TW108F.JPG
TW105F,Tsuen Wan,Kwai Tsing Road near Tsing Yi Bridge,830732,824014,22.35524257,114.1231284,http://tdcctv.data.one.gov.hk/TW105F.JPG
TW116F,Tsuen Wan,Texaco Road Flyover near Sha Tsui Road,830581,825314,22.36698179,114.1216578,http://tdcctv.data.one.gov.hk/TW116F.JPG
TC104F,Tsuen Wan,Tsing Kwai Highway Near Container Port 4,831659,822161,22.33851168,114.1321335,http://tdcctv.data.one.gov.hk/TC104F.JPG
TW121F,Tsuen Wan,Tsing Kwai Highway/Cheung Tsing Tunnel,829371,823273,22.34854601,114.1099184,http://tdcctv.data.one.gov.hk/TW121F.JPG
TW120F,Tsuen Wan,Tsuen Wan Road near Tai Chung Road,829229,825665,22.3701465,114.1085293,http://tdcctv.data.one.gov.hk/TW120F.JPG
TW103F,Tsuen Wan,Tsuen Wan Road near Tsuen Tsing Interchange,830302,824759,22.36196889,114.118951,http://tdcctv.data.one.gov.hk/TW103F.JPG
TW112F,Tsuen Wan,Wo Yi Hop Road near Lei Shu Road,832089,825920,22.37245862,114.1362978,http://tdcctv.data.one.gov.hk/TW112F.JPG
TI101F,Tuen Mun & Tin Shui Wai,Castle Peak Road near Hung Shui Kiu,818116,832960,22.43594219,114.0005451,http://tdcctv.data.one.gov.hk/TI101F.JPG
YL111F,Tuen Mun & Tin Shui Wai,Castle Peak Road near Pok Oi Interchange,821778,833921,22.44465535,114.0361091,http://tdcctv.data.one.gov.hk/YL111F.JPG
YL106F,Tuen Mun & Tin Shui Wai,Castle Peak Road nearYuen Long,821374,833889,22.44436291,114.0321847,http://tdcctv.data.one.gov.hk/YL106F.JPG
YL101F,Tuen Mun & Tin Shui Wai,Long Tin Road near Long Ping Road,819768,834117,22.44640711,114.0165806,http://tdcctv.data.one.gov.hk/YL101F.JPG
TM103F,Tuen Mun & Tin Shui Wai,Lung Mun Road near Tuen Mun Recreation and Sports Centre,814386,827143,22.38336855,113.9643918,http://tdcctv.data.one.gov.hk/TM103F.JPG
RT115F,Tuen Mun & Tin Shui Wai,Lung Mun Road near Wu Chui Road,813947,826346,22.37616562,113.9601401,http://tdcctv.data.one.gov.hk/RT115F.JPG
TM118F,Tuen Mun & Tin Shui Wai,Pui To Road near Tuen Mun Park,815440,828325,22.39405567,113.974611,http://tdcctv.data.one.gov.hk/TM118F.JPG
TC604F,Tuen Mun & Tin Shui Wai,Ting Kau Bridge,826472,824576,22.36029874,114.081767,http://tdcctv.data.one.gov.hk/TC604F.JPG
TR101F,Tuen Mun & Tin Shui Wai,Tuen Mun Road - Chai Wan Kok,828660,826100,22.37407235,114.1030026,http://tdcctv.data.one.gov.hk/TR101F.JPG
TR111F,Tuen Mun & Tin Shui Wai,Tuen Mun Road - near Tsing Lung Tau,822340,825085,22.36486675,114.0416459,http://tdcctv.data.one.gov.hk/TR111F.JPG
TR704F,Tuen Mun & Tin Shui Wai,Tuen Mun Road near Tsing Yin Street,815631,828770,22.39807653,113.9764601,http://tdcctv.data.one.gov.hk/TR704F.JPG
TR119F,Tuen Mun & Tin Shui Wai,Tuen Mun Road - Sam Shing Hui,816012,827115,22.38313566,113.9801811,http://tdcctv.data.one.gov.hk/TR119F.JPG
TR108F,Tuen Mun & Tin Shui Wai,Tuen Mun Road - Sham Tseng Interchange,824432,825594,22.36947897,114.0619535,http://tdcctv.data.one.gov.hk/TR108F.JPG
TR107F,Tuen Mun & Tin Shui Wai,Tuen Mun Road - Sham Tseng Section,825207,825163,22.36559198,114.0694813,http://tdcctv.data.one.gov.hk/TR107F.JPG
TR116F,Tuen Mun & Tin Shui Wai,Tuen Mun Road - Siu Lam Section,818269,825371,22.36741164,114.002117,http://tdcctv.data.one.gov.hk/TR116F.JPG
TR114F,Tuen Mun & Tin Shui Wai,Tuen Mun Road - Tai Lam Kok Section,820023,824347,22.35818188,114.0191574,http://tdcctv.data.one.gov.hk/TR114F.JPG
TR105F,Tuen Mun & Tin Shui Wai,Tuen Mun Road - Ting Kau Section,826054,825794,22.37129549,114.0777009,http://tdcctv.data.one.gov.hk/TR105F.JPG
TR103F,Tuen Mun & Tin Shui Wai,Tuen Mun Road - Yau Kom Tau Section,827318,825687,22.37033628,114.0899744,http://tdcctv.data.one.gov.hk/TR103F.JPG
